,strikePrice,expiryDate,CE.strikePrice,CE.expiryDate,CE.underlying,CE.identifier,CE.openInterest,CE.changeinOpenInterest,CE.pchangeinOpenInterest,CE.totalTradedVolume,CE.impliedVolatility,CE.lastPrice,CE.change,CE.pChange,CE.totalBuyQuantity,CE.totalSellQuantity,CE.bidQty,CE.bidprice,CE.askQty,CE.askPrice,CE.underlyingValue,PE.strikePrice,PE.expiryDate,PE.underlying,PE.identifier,PE.openInterest,PE.changeinOpenInterest,PE.pchangeinOpenInterest,PE.totalTradedVolume,PE.impliedVolatility,PE.lastPrice,PE.change,PE.pChange,PE.totalBuyQuantity,PE.totalSellQuantity,PE.bidQty,PE.bidprice,PE.askQty,PE.askPrice,PE.underlyingValue,current_time
100,38600,16-Mar-2023,38600.0,16-Mar-2023,BANKNIFTY,OPTIDXBANKNIFTY16-03-2023CE38600.00,1166.0,0.0,0.0,546.0,22.62,375.0,-109.05,-22.52866439417416,130350.0,7875.0,25.0,373.4,50.0,377.0,39051.5,38600.0,16-Mar-2023,BANKNIFTY,OPTIDXBANKNIFTY16-03-2023PE38600.00,34639.0,0.0,0.0,8652.0,26.9,81.15,24.15000000000001,42.36842105263159,752675.0,32900.0,225.0,80.45,75.0,81.15,39051.5,2023-03-16 09:17:03
106,38700,16-Mar-2023,38700.0,16-Mar-2023,BANKNIFTY,OPTIDXBANKNIFTY16-03-2023CE38700.00,1886.0,0.0,0.0,575.0,21.96,302.6,-118.04999999999995,-28.063710923570657,147925.0,9850.0,50.0,301.55,25.0,304.95,39051.5,38700.0,16-Mar-2023,BANKNIFTY,OPTIDXBANKNIFTY16-03-2023PE38700.00,40732.0,0.0,0.0,9173.0,25.6,104.0,31.75,43.944636678200695,722125.0,35425.0,175.0,103.85,400.0,104.9,39051.5,2023-03-16 09:17:03
109,38800,16-Mar-2023,38800.0,16-Mar-2023,BANKNIFTY,OPTIDXBANKNIFTY16-03-2023CE38800.00,5661.0,0.0,0.0,1194.0,21.12,235.0,-109.5,-31.78519593613933,143475.0,13925.0,100.0,235.0,150.0,236.6,39051.5,38800.0,16-Mar-2023,BANKNIFTY,OPTIDXBANKNIFTY16-03-2023PE38800.00,57298.0,0.0,0.0,12282.0,25.22,139.9,45.55000000000001,48.27768945416005,641600.0,57750.0,25.0,139.9,25.0,140.6,39051.5,2023-03-16 09:17:03
113,38900,16-Mar-2023,38900.0,16-Mar-2023,BANKNIFTY,OPTIDXBANKNIFTY16-03-2023CE38900.00,12925.0,0.0,0.0,3057.0,21.37,180.1,-94.25000000000004,-34.353927464917085,245950.0,25675.0,150.0,180.1,100.0,181.15,39051.5,38900.0,16-Mar-2023,BANKNIFTY,OPTIDXBANKNIFTY16-03-2023PE38900.00,39478.0,0.0,0.0,14616.0,24.67,182.65,59.2,47.95463750506278,545625.0,57700.0,50.0,181.85,175.0,182.65,39051.5,2023-03-16 09:17:03
119,39000,16-Mar-2023,39000.0,16-Mar-2023,BANKNIFTY,OPTIDXBANKNIFTY16-03-2023CE39000.00,52316.0,0.0,0.0,15617.0,21.12,132.15,-81.54999999999998,-38.16097332709405,441750.0,101450.0,25.0,132.15,75.0,133.15,39051.5,39000.0,16-Mar-2023,BANKNIFTY,OPTIDXBANKNIFTY16-03-2023PE39000.00,107539.0,0.0,0.0,29297.0,24.24,236.8,76.10000000000002,47.35532047293095,747725.0,126875.0,400.0,235.75,275.0,236.8,39051.5,2023-03-16 09:17:03
126,39100,16-Mar-2023,39100.0,16-Mar-2023,BANKNIFTY,OPTIDXBANKNIFTY16-03-2023CE39100.00,35484.0,0.0,0.0,12457.0,20.87,94.45,-76.35000000000001,-44.70140515222483,206725.0,114750.0,250.0,94.5,50.0,95.0,39051.5,39100.0,16-Mar-2023,BANKNIFTY,OPTIDXBANKNIFTY16-03-2023PE39100.00,32128.0,0.0,0.0,11993.0,24.84,298.4,102.14999999999998,52.05095541401272,357300.0,46675.0,25.0,297.6,675.0,298.35,39051.5,2023-03-16 09:17:03
133,39200,16-Mar-2023,39200.0,16-Mar-2023,BANKNIFTY,OPTIDXBANKNIFTY16-03-2023CE39200.00,57853.0,0.0,0.0,12359.0,20.92,66.75,-64.80000000000001,-49.25883694412772,305825.0,118325.0,425.0,66.25,50.0,66.75,39051.5,39200.0,16-Mar-2023,BANKNIFTY,OPTIDXBANKNIFTY16-03-2023PE39200.00,38139.0,0.0,0.0,6923.0,23.67,368.15,126.49999999999996,52.34843782329814,299500.0,34350.0,175.0,367.8,200.0,370.6,39051.5,2023-03-16 09:17:03
138,39300,16-Mar-2023,39300.0,16-Mar-2023,BANKNIFTY,OPTIDXBANKNIFTY16-03-2023CE39300.00,88305.0,0.0,0.0,12401.0,21.15,45.25,-48.55,-51.75906183368871,352825.0,129450.0,25.0,45.1,75.0,45.2,39051.5,39300.0,16-Mar-2023,BANKNIFTY,OPTIDXBANKNIFTY16-03-2023PE39300.00,28221.0,0.0,0.0,3896.0,24.18,449.65,147.25,48.69378306878307,396075.0,12700.0,25.0,447.4,25.0,449.05,39051.5,2023-03-16 09:17:03
140,39400,16-Mar-2023,39400.0,16-Mar-2023,BANKNIFTY,OPTIDXBANKNIFTY16-03-2023CE39400.00,76354.0,0.0,0.0,10710.0,21.48,31.2,-35.8,-53.43283582089552,819150.0,204700.0,200.0,30.85,300.0,31.2,39051.5,39400.0,16-Mar-2023,BANKNIFTY,OPTIDXBANKNIFTY16-03-2023PE39400.00,23947.0,0.0,0.0,2007.0,24.79,536.7,161.05000000000007,42.87235458538535,344725.0,13475.0,50.0,533.4,50.0,536.0,39051.5,2023-03-16 09:17:03
149,39500,16-Mar-2023,39500.0,16-Mar-2023,BANKNIFTY,OPTIDXBANKNIFTY16-03-2023CE39500.00,144941.0,0.0,0.0,22660.0,21.96,22.2,-24.95,-52.91622481442205,1414275.0,235675.0,600.0,22.05,675.0,22.2,39051.5,39500.0,16-Mar-2023,BANKNIFTY,OPTIDXBANKNIFTY16-03-2023PE39500.00,51937.0,0.0,0.0,2701.0,25.89,623.25,156.39999999999998,33.50112455820927,101975.0,15375.0,50.0,623.2,200.0,626.7,39051.5,2023-03-16 09:17:03
151,39600,16-Mar-2023,39600.0,16-Mar-2023,BANKNIFTY,OPTIDXBANKNIFTY16-03-2023CE39600.00,96322.0,0.0,0.0,13111.0,22.37,15.95,-17.900000000000002,-52.88035450516987,306475.0,113800.0,375.0,15.85,175.0,15.95,39051.5,39600.0,16-Mar-2023,BANKNIFTY,OPTIDXBANKNIFTY16-03-2023PE39600.00,20660.0,0.0,0.0,531.0,26.86,720.0,172.64999999999998,31.542888462592483,150550.0,4750.0,25.0,720.9,25.0,724.3,39051.5,2023-03-16 09:17:03
158,39700,16-Mar-2023,39700.0,16-Mar-2023,BANKNIFTY,OPTIDXBANKNIFTY16-03-2023CE39700.00,96847.0,0.0,0.0,16068.0,23.67,12.15,-13.05,-51.78571428571428,232800.0,213100.0,325.0,12.05,175.0,12.15,39051.5,39700.0,16-Mar-2023,BANKNIFTY,OPTIDXBANKNIFTY16-03-2023PE39700.00,11759.0,0.0,0.0,557.0,29.48,819.35,171.85000000000002,26.54054054054054,43000.0,5425.0,50.0,813.2,200.0,816.55,39051.5,2023-03-16 09:17:03
163,39800,16-Mar-2023,39800.0,16-Mar-2023,BANKNIFTY,OPTIDXBANKNIFTY16-03-2023CE39800.00,96766.0,0.0,0.0,12306.0,24.55,9.65,-9.7,-50.12919896640828,577000.0,147350.0,150.0,9.55,425.0,9.6,39051.5,39800.0,16-Mar-2023,BANKNIFTY,OPTIDXBANKNIFTY16-03-2023PE39800.00,13235.0,0.0,0.0,213.0,30.24,912.45,163.55000000000007,21.83869675524103,104500.0,7675.0,225.0,909.65,175.0,914.25,39051.5,2023-03-16 09:17:03
