,strikePrice,expiryDate,PE.strikePrice,PE.expiryDate,PE.underlying,PE.identifier,PE.openInterest,PE.changeinOpenInterest,PE.pchangeinOpenInterest,PE.totalTradedVolume,PE.impliedVolatility,PE.lastPrice,PE.change,PE.pChange,PE.totalBuyQuantity,PE.totalSellQuantity,PE.bidQty,PE.bidprice,PE.askQty,PE.askPrice,PE.underlyingValue,CE.strikePrice,CE.expiryDate,CE.underlying,CE.identifier,CE.openInterest,CE.changeinOpenInterest,CE.pchangeinOpenInterest,CE.totalTradedVolume,CE.impliedVolatility,CE.lastPrice,CE.change,CE.pChange,CE.totalBuyQuantity,CE.totalSellQuantity,CE.bidQty,CE.bidprice,CE.askQty,CE.askPrice,CE.underlyingValue,current_time
156,38600,16-Mar-2023,38600.0,16-Mar-2023,BANKNIFTY,OPTIDXBANKNIFTY16-03-2023PE38600.00,139443.0,104804.0,302.5606974797194,3943897.0,21.47,30.15,-26.85,-47.10526315789474,4091900.0,625775.0,250.0,30.05,400.0,30.15,39026.5,38600.0,16-Mar-2023,BANKNIFTY,OPTIDXBANKNIFTY16-03-2023CE38600.00,8599.0,7433.0,637.4785591766724,789230.0,15.66,452.1,-31.94999999999999,-6.60055779361636,1494750.0,34000.0,50.0,451.5,25.0,452.65,39026.5,2023-03-16 11:41:05
167,38700,16-Mar-2023,38700.0,16-Mar-2023,BANKNIFTY,OPTIDXBANKNIFTY16-03-2023PE38700.00,184106.0,143374.0,351.9935186094471,4888468.0,20.43,42.05,-30.200000000000003,-41.79930795847751,3658800.0,962825.0,50.0,42.0,150.0,42.05,39026.5,38700.0,16-Mar-2023,BANKNIFTY,OPTIDXBANKNIFTY16-03-2023CE38700.00,14217.0,12331.0,653.8176033934252,1694479.0,16.4,364.0,-56.64999999999998,-13.467253060739326,1813075.0,43950.0,25.0,363.75,50.0,364.1,39026.5,2023-03-16 11:41:05
168,38800,16-Mar-2023,38800.0,16-Mar-2023,BANKNIFTY,OPTIDXBANKNIFTY16-03-2023PE38800.00,166780.0,109482.0,191.07473210234213,4750526.0,19.67,59.4,-34.95,-37.0429252782194,2722050.0,760550.0,25.0,59.45,125.0,59.6,39026.5,38800.0,16-Mar-2023,BANKNIFTY,OPTIDXBANKNIFTY16-03-2023CE38800.00,23568.0,17907.0,316.32220455749865,2579370.0,16.45,281.8,-62.69999999999999,-18.20029027576197,2289650.0,71825.0,250.0,281.6,50.0,282.5,39026.5,2023-03-16 11:41:05
180,38900,16-Mar-2023,38900.0,16-Mar-2023,BANKNIFTY,OPTIDXBANKNIFTY16-03-2023PE38900.00,137005.0,97527.0,247.0413901413445,4029172.0,18.89,86.2,-37.25,-30.17415957877684,2770100.0,505900.0,50.0,85.9,50.0,86.15,39026.5,38900.0,16-Mar-2023,BANKNIFTY,OPTIDXBANKNIFTY16-03-2023CE38900.00,32217.0,19292.0,149.26112185686654,3181734.0,16.32,207.6,-66.75000000000003,-24.330235101148176,2743200.0,90475.0,25.0,206.9,100.0,207.5,39026.5,2023-03-16 11:41:05
183,39000,16-Mar-2023,39000.0,16-Mar-2023,BANKNIFTY,OPTIDXBANKNIFTY16-03-2023PE39000.00,214950.0,107411.0,99.8809734142962,5461400.0,18.38,122.15,-38.54999999999998,-23.988799004355936,3085900.0,841000.0,50.0,122.15,100.0,122.35,39026.5,39000.0,16-Mar-2023,BANKNIFTY,OPTIDXBANKNIFTY16-03-2023CE39000.00,111223.0,58907.0,112.59844024772536,6341933.0,16.18,144.95,-68.75,-32.171268132896586,4228750.0,386325.0,200.0,144.6,75.0,144.95,39026.5,2023-03-16 11:41:05
197,39100,16-Mar-2023,39100.0,16-Mar-2023,BANKNIFTY,OPTIDXBANKNIFTY16-03-2023PE39100.00,105332.0,73204.0,227.8510956175299,2458415.0,18.06,172.9,-23.349999999999994,-11.89808917197452,1926025.0,286075.0,50.0,172.4,125.0,172.85,39026.5,39100.0,16-Mar-2023,BANKNIFTY,OPTIDXBANKNIFTY16-03-2023CE39100.00,93298.0,57814.0,162.9297711644685,4377046.0,15.82,93.85,-76.95000000000002,-45.05269320843093,3292150.0,300925.0,675.0,93.6,25.0,93.75,39026.5,2023-03-16 11:41:05
204,39200,16-Mar-2023,39200.0,16-Mar-2023,BANKNIFTY,OPTIDXBANKNIFTY16-03-2023PE39200.00,87226.0,49087.0,128.70552452869765,1881743.0,18.03,234.05,-7.599999999999994,-3.1450444858266065,1015225.0,209800.0,75.0,234.35,50.0,235.0,39026.5,39200.0,16-Mar-2023,BANKNIFTY,OPTIDXBANKNIFTY16-03-2023CE39200.00,137512.0,79659.0,137.69208165522963,5090869.0,15.8,58.0,-73.55000000000001,-55.910300266058535,3828950.0,558550.0,150.0,57.85,25.0,57.95,39026.5,2023-03-16 11:41:05
212,39300,16-Mar-2023,39300.0,16-Mar-2023,BANKNIFTY,OPTIDXBANKNIFTY16-03-2023PE39300.00,44899.0,16678.0,59.09783494560788,857507.0,18.24,312.75,10.350000000000025,3.4226190476190554,1406075.0,98300.0,25.0,312.0,175.0,312.8,39026.5,39300.0,16-Mar-2023,BANKNIFTY,OPTIDXBANKNIFTY16-03-2023CE39300.00,176859.0,88554.0,100.281977237982,4660974.0,15.77,33.85,-59.95,-63.91257995735607,4490975.0,476175.0,50.0,33.8,400.0,33.9,39026.5,2023-03-16 11:41:05
219,39400,16-Mar-2023,39400.0,16-Mar-2023,BANKNIFTY,OPTIDXBANKNIFTY16-03-2023PE39400.00,24658.0,711.0,2.969056666805863,406293.0,18.87,395.7,20.05000000000001,5.337415147078401,734150.0,40250.0,75.0,395.6,25.0,396.0,39026.5,39400.0,16-Mar-2023,BANKNIFTY,OPTIDXBANKNIFTY16-03-2023CE39400.00,135386.0,59032.0,77.3135657594887,3730146.0,15.97,20.4,-46.6,-69.55223880597016,5645175.0,443325.0,1300.0,20.3,100.0,20.4,39026.5,2023-03-16 11:41:05
225,39500,16-Mar-2023,39500.0,16-Mar-2023,BANKNIFTY,OPTIDXBANKNIFTY16-03-2023PE39500.00,40501.0,-11436.0,-22.018984538960662,481056.0,19.93,491.6,24.75,5.301488700867516,401450.0,72200.0,25.0,490.1,25.0,491.0,39026.5,39500.0,16-Mar-2023,BANKNIFTY,OPTIDXBANKNIFTY16-03-2023CE39500.00,225213.0,80272.0,55.38253496250199,5029334.0,16.41,13.0,-34.15,-72.42841993637327,7979925.0,911075.0,750.0,12.95,300.0,13.05,39026.5,2023-03-16 11:41:05
